molecular_weight,logP,TPSA,H_bond_donors,H_bond_acceptors,rotatable_bonds,ring_count,label
383.5170000000001,2.8560000000000016,48.3,1.0,6.0,5.0,4.0,1.0
408.8820000000002,2.2663,99.88000000000001,2.0,7.0,8.0,2.0,1.0
92.09400000000001,-1.6680999999999997,60.69,3.0,3.0,2.0,0.0,1.0
385.37600000000015,2.4578800000000003,131.55999999999997,1.0,8.0,5.0,2.0,1.0
186.18600000000004,-2.236799999999997,40.129999999999995,0.0,2.0,4.0,1.0,1.0
301.72900000000004,4.336300000000002,63.33,1.0,3.0,3.0,3.0,1.0
285.774,4.258500000000003,12.47,0.0,2.0,0.0,4.0,1.0
296.326,3.0637000000000016,72.63,1.0,3.0,1.0,3.0,1.0
302.2710000000001,1.6011000000000006,82.44,2.0,4.0,3.0,2.0,1.0
462.51300000000026,-0.2255999999999989,150.53999999999996,3.0,10.0,7.0,4.0,1.0
1792.1190000000008,3.1140000000000123,598.09,23.0,28.0,30.0,12.0,1.0
464.44400000000013,3.992480000000003,76.44,1.0,4.0,3.0,3.0,1.0
492.5280000000003,4.275800000000004,117.00000000000001,1.0,8.0,10.0,3.0,1.0
718.8320000000004,7.005920000000009,177.42999999999998,5.0,9.0,4.0,8.0,1.0
18.015,-0.8247,31.5,0.0,0.0,0.0,0.0,1.0
524.9540000000004,1.9781000000000006,174.48000000000002,4.0,9.0,10.0,2.0,1.0
246.194,-1.6852000000000007,104.55000000000001,3.0,6.0,1.0,2.0,1.0
317.42900000000003,3.238100000000002,38.77,0.0,4.0,4.0,3.0,1.0
384.2590000000001,3.9643000000000033,64.63000000000001,1.0,5.0,4.0,2.0,1.0
1755.6580000000008,2.6922000000000086,598.09,23.0,28.0,30.0,12.0,1.0
384.64800000000014,7.619000000000009,20.23,1.0,1.0,6.0,3.0,1.0
255.33043360000002,3.7106000000000026,45.150000000000006,2.0,4.0,2.0,3.0,1.0
254.28900000000002,2.4929000000000006,66.56,2.0,2.0,0.0,3.0,1.0
256.33,3.7106000000000017,45.150000000000006,2.0,4.0,2.0,3.0,1.0
216.19199999999998,2.5478000000000005,52.58,0.0,4.0,1.0,3.0,1.0
251.05,1.5682799999999992,62.480000000000004,1.0,4.0,2.0,3.0,1.0
475.6290000000002,5.543000000000006,63.68,0.0,5.0,4.0,5.0,1.0
343.883,4.130300000000004,18.84,0.0,4.0,0.0,4.0,1.0
782.9570000000004,4.044200000000002,228.77999999999994,4.0,10.0,8.0,9.0,1.0
138.12199999999999,1.0903999999999998,57.53,2.0,2.0,1.0,1.0,1.0
381.43200000000013,2.1906999999999996,93.96999999999998,2.0,5.0,2.0,4.0,1.0
370.4780000000001,2.534320000000001,55.89,1.0,5.0,2.0,4.0,1.0
449.6350000000002,5.155700000000006,60.77000000000001,2.0,4.0,5.0,5.0,1.0
271.40400000000005,3.3834000000000026,12.47,0.0,2.0,1.0,4.0,1.0
254.28900000000002,2.4929000000000006,66.56,2.0,2.0,0.0,3.0,1.0
753.9410000000001,2.732400000000003,164.82,5.0,10.0,6.0,9.0,1.0
295.386,2.976300000000001,26.79,0.0,3.0,3.0,3.0,1.0
310.8280000000001,4.018900000000003,24.92,1.0,2.0,0.0,4.0,1.0
288.1820000000001,2.862440000000001,83.78999999999999,5.0,2.0,2.0,1.0,1.0
690.8599999999999,2.269300000000003,176.41999999999996,2.0,11.0,7.0,3.0,1.0
277.16900000000004,-0.18190000000000067,150.31,5.0,5.0,5.0,1.0,1.0
252.27300000000002,2.6422000000000008,63.400000000000006,1.0,2.0,0.0,3.0,1.0
392.5030000000002,2.3886000000000003,68.17,2.0,5.0,8.0,3.0,1.0
1713.099,4.592799999999998,407.62,6.0,25.0,17.0,12.0,1.0
